ordem;codigo;descricao;codigoSuperior;nivel;isTotal;grupo
45;0045;Multas Disciplinares;0044;4;false;
46;0046;Multas Contratuais;0044;4;false;
47;0047;Cursos e Treinamentos;0039;3;false;
48;0048;Cursos de Arbitragem;0047;4;false;
49;0049;Cursos de Treinadores;0047;4;false;
50;0050;Workshops e Seminários;0047;4;false;
51;0051;Outras Receitas Operacionais;0039;3;false;
52;0052;Receita Bruta;0057;1;false;
53;0053;(-) Deduções da Receita;0057;2;false;
54;0054;Devoluções e abatimentos;0047;4;false;
55;0055;Descontos incondicionais;0047;4;false;
56;0056;Impostos sobre a Receita;0047;4;false;
57;0057;Receita Líquida;0114;1;false;
58;0058;CUSTOS;0114;1;false;
59;0059;Custos com Competições;0058;2;false;
60;0060;Organização de Jogos;0059;3;false;
61;0061;Aluguel de Estádios;0060;4;false;
62;0062;Segurança e Vigilância;0060;4;false;
63;0063;Limpeza e Conservação;0060;4;false;
64;0064;Infraestrutura Temporária;0060;4;false;
65;0065;Iluminação e Energia;0060;4;false;
66;0066;Arbitragem;0059;3;false;
67;0067;Honorários de Árbitros;0066;4;false;
68;0068;Assistentes de Arbitragem;0066;4;false;
69;0069;VAR - Árbitro de Vídeo;0066;4;false;
70;0070;Departamento de Arbitragem;0066;4;false;
71;0071;Transporte e Hospedagem de Árbitros;0066;4;false;
72;0072;Premiações;0059;3;false;
73;0073;Prêmios em Dinheiro;0072;4;false;
